,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,-0,-0,86,75,70,81,93,105
Expenses +,-0,676,215,205,187,264,238,133
Operating Profit,-0,-676,-128,-130,-118,-183,-145,-28
OPM %,,,-149%,-174%,-170%,-225%,-157%,-27%
Other Income +,-0,676,203,9,8,10,3,-113
Interest,-0,-0,247,129,131,135,131,133
Depreciation,-0,-0,12,10,18,21,24,25
Profit before tax,-0,-0,-185,-260,-259,-329,-297,-298
Tax %,,-0%,-0%,-0%,-0%,-0%,-0%,
Net Profit,-0,-0,-185,-260,-259,-329,-297,-298
EPS in Rs,,,-7.70,-10.84,-10.81,-13.74,-12.41,-12.43
