,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Jun 2012,Jun 2013
Share Capital +,13,13,18,18,18,18,18,18
Reserves,188,282,456,676,901,"1,130","1,682",450
Borrowings +,2,2,507,643,587,615,"1,099","1,220"
Other Liabilities +,12,35,62,107,164,330,219,330
Total Liabilities,214,330,"1,043","1,445","1,670","2,094","3,018","2,018"
Fixed Assets +,74,82,102,160,180,273,351,242
CWIP,1,38,66,74,85,9,11,15
Investments,52,14,23,165,316,7,4,"1,032"
Other Assets +,87,197,851,"1,046","1,089","1,804","2,653",728
Total Assets,214,330,"1,043","1,445","1,670","2,094","3,018","2,018"
