,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Sep 2016
Share Capital +,11,12,12,12,12,12,13,13,13,13,13,13
Reserves,131,211,232,91,166,205,174,250,323,395,461,567
Borrowings +,0,92,79,117,19,4,67,28,37,59,59,59
Other Liabilities +,52,76,77,124,118,126,238,274,285,290,260,116
Total Liabilities,194,391,401,345,315,348,492,565,657,757,793,756
Fixed Assets +,102,220,219,83,86,85,88,164,171,175,179,101
CWIP,5,0,0,6,0,0,1,2,19,2,1,0
Investments,21,12,18,20,17,14,70,78,95,119,162,161
Other Assets +,66,158,163,236,212,250,333,321,372,461,451,494
Total Assets,194,391,401,345,315,348,492,565,657,757,793,756
