,Mar 2006,Mar 2007,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,23,23,21,35,33,33,33,33,21
Reserves,95,107,266,155,262,271,268,255,231,248,267
Borrowings +,94,91,454,478,449,410,379,354,215,171,146
Other Liabilities +,61,72,244,211,203,239,256,226,157,156,136
Total Liabilities,261,281,985,865,936,942,925,857,624,597,570
Fixed Assets +,97,112,421,310,441,432,427,421,315,312,298
CWIP,13,10,11,4,9,17,14,15,14,12,11
Investments,25,13,28,28,29,34,29,17,8,3,0
Other Assets +,126,145,525,522,457,460,454,404,287,271,261
Total Assets,261,281,985,865,936,942,925,857,624,597,570
