,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,24,24,25,25,25,25,25,25,25,25,25,25,25
Reserves,252,240,337,362,435,442,314,121,-369,-438,-212,-280,-343
Borrowings +,615,674,846,"1,099","1,017","1,133","1,123","1,086","1,155","1,043",678,699,747
Other Liabilities +,53,64,132,198,192,195,228,247,174,-1,89,103,123
Total Liabilities,945,"1,002","1,340","1,684","1,669","1,795","1,689","1,478",986,629,580,546,551
Fixed Assets +,826,872,"1,181","1,490","1,427","1,584","1,395","1,305",839,514,522,495,490
CWIP,0,0,2,0,5,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,119,130,156,194,237,211,295,173,146,116,58,51,62
Total Assets,945,"1,002","1,340","1,684","1,669","1,795","1,689","1,478",986,629,580,546,551
