,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,20,20,20,20,10,10,10,10,10,10,10,10,10
Reserves,425,"1,046","1,070","1,107",997,"1,017",507,811,933,900,"1,155","1,142","1,346"
Borrowings +,225,380,"2,051","1,447","1,339","1,248","1,024",802,538,"1,193","1,114","1,595","1,766"
Other Liabilities +,350,336,342,323,184,193,190,182,202,179,171,491,311
Total Liabilities,"1,021","1,781","3,484","2,897","2,530","2,467","1,731","1,805","1,683","2,281","2,451","3,238","3,433"
Fixed Assets +,463,"1,051","1,046","1,030",971,972,338,351,361,369,374,303,308
CWIP,16,17,16,37,13,15,17,19,16,19,15,3,4
Investments,35,1,2,2,1,1,161,440,541,469,578,45,48
Other Assets +,507,711,"2,420","1,828","1,545","1,479","1,215",995,764,"1,425","1,485","2,887","3,072"
Total Assets,"1,021","1,781","3,484","2,897","2,530","2,467","1,731","1,805","1,683","2,281","2,451","3,238","3,433"
