,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,26,26,26,26,26,26,26,26,26,26,20,20,20
Reserves,426,323,335,341,352,251,254,247,259,279,258,284,299
Borrowings +,535,"1,748","1,153",651,597,130,695,309,263,232,283,368,289
Other Liabilities +,595,"1,431","1,048","1,135","1,053",652,89,57,58,60,144,169,80
Total Liabilities,"1,583","3,529","2,562","2,154","2,029","1,059","1,065",639,607,597,704,841,688
Fixed Assets +,335,336,338,331,346,253,231,69,68,73,80,84,99
CWIP,12,28,13,7,8,1,3,5,3,2,2,2,4
Investments,42,212,185,123,37,30,68,36,42,39,24,33,35
Other Assets +,"1,193","2,953","2,026","1,694","1,637",775,762,530,494,483,598,721,550
Total Assets,"1,583","3,529","2,562","2,154","2,029","1,059","1,065",639,607,597,704,841,688
