,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales +,86.47,96.08,71.34,68.90,70.29,51.59,44.73,36.96,81.92,76.08,23.42,41.79,32.66
Expenses +,115.49,130.04,77.40,83.65,71.27,59.40,56.97,53.66,71.33,41.36,37.29,30.36,24.79
Operating Profit,-29.02,-33.96,-6.06,-14.75,-0.98,-7.81,-12.24,-16.70,10.59,34.72,-13.87,11.43,7.87
OPM %,-33.56%,-35.35%,-8.49%,-21.41%,-1.39%,-15.14%,-27.36%,-45.18%,12.93%,45.64%,-59.22%,27.35%,24.10%
Other Income +,32.86,18.26,0.75,-4.27,13.68,1.25,1.30,15.62,11.10,9.80,23.52,0.95,4.32
Interest,13.48,16.87,28.45,53.35,45.99,25.43,24.71,27.45,24.55,15.99,10.85,4.28,4.16
Depreciation,2.03,1.53,1.05,1.25,1.09,1.21,1.04,0.87,0.75,0.62,1.01,0.47,0.51
Profit before tax,-11.67,-34.10,-34.81,-73.62,-34.38,-33.20,-36.69,-29.40,-3.61,27.91,-2.21,7.63,7.52
Tax %,-0.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-124.10%,2.29%,28.05%,0.00%,
Net Profit,-11.71,-34.10,-34.81,-73.62,-34.37,-33.20,-36.69,-29.40,-8.09,27.26,-1.59,7.63,6.92
EPS in Rs,-6.65,-19.37,-19.77,-41.81,-19.52,-17.58,-20.84,-16.70,-4.59,15.48,-0.90,4.33,3.93
