,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,1,1,1,1,1,1,1,1,1,1,1,1,1
Reserves,66,87,96,105,111,118,125,123,128,126,130,135,138
Borrowings +,40,76,90,85,67,68,67,57,65,86,72,101,85
Other Liabilities +,28,47,49,52,53,50,51,48,52,56,44,59,67
Total Liabilities,136,211,237,242,233,237,244,230,247,269,248,296,291
Fixed Assets +,69,107,139,136,130,132,134,126,122,122,110,122,101
CWIP,10,16,2,4,6,2,2,2,1,2,2,0,2
Investments,0,0,0,0,1,1,1,1,1,1,0,15,16
Other Assets +,57,88,95,102,97,102,107,100,123,144,135,158,173
Total Assets,136,211,237,242,233,237,244,230,247,269,248,296,291
