,Mar 2006,Mar 2007,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,828","3,317","5,386","5,311","6,108","5,265","6,266","8,491","7,798","7,634","9,083","10,206"
Expenses +,"2,273","2,839","4,819","4,719","5,451","4,775","5,701","7,742","7,477","7,063","7,764","8,503"
Operating Profit,555,478,567,592,657,489,565,749,321,571,"1,319","1,703"
OPM %,20%,14%,11%,11%,11%,9%,9%,9%,4%,7%,15%,17%
Other Income +,142,143,120,101,65,61,99,107,105,184,185,204
Interest,86,76,45,18,31,65,51,61,115,43,10,11
Depreciation,142,143,145,101,97,104,119,126,171,177,179,180
Profit before tax,470,402,496,575,594,382,493,669,141,535,"1,315","1,715"
Tax %,30%,21%,31%,30%,31%,-11%,4%,26%,22%,16%,32%,
Net Profit,327,316,349,409,416,424,474,493,110,450,899,"1,162"
EPS in Rs,8.19,7.92,8.77,10.28,10.44,10.65,11.89,12.38,2.75,11.30,22.55,29.17
