,Mar 2009,Mar 2011,Mar 2012,Mar 2016,Mar 2017
Share Capital +,816,957,957,"2,336","2,460"
Reserves,401,441,-248,"-3,216","-3,889"
Borrowings +,"3,548","11,352","11,987","4,935","4,895"
Other Liabilities +,458,"3,251","3,369",485,607
Total Liabilities,"5,223","16,002","16,065","4,540","4,073"
Fixed Assets +,"2,158","11,597","12,333","3,261","3,138"
CWIP,"1,047",977,285,46,43
Investments,0,33,802,836,531
Other Assets +,"2,018","3,395","2,646",398,360
Total Assets,"5,223","16,002","16,065","4,540","4,073"
