,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Share Capital +,8,8,8,8,8,8,8,8,8,8,8,8,8
Reserves,21,41,37,50,59,65,70,89,111,147,171,184,174
Borrowings +,102,54,52,63,54,53,36,5,11,22,32,22,25
Other Liabilities +,48,154,213,177,177,180,205,203,232,290,318,249,294
Total Liabilities,178,258,309,297,297,305,319,305,362,466,528,463,501
Fixed Assets +,80,142,140,138,135,132,124,113,136,152,222,233,222
CWIP,0,0,3,0,5,1,2,2,3,9,19,3,4
Investments,3,2,3,3,3,2,2,14,15,8,1,3,3
Other Assets +,96,113,164,156,155,171,191,176,208,298,285,224,272
Total Assets,178,258,309,297,297,305,319,305,362,466,528,463,501
