,Mar 2009,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,18,18,18,18,18,18,18,18,18,18,18,18,18
Reserves,257,301,301,303,268,223,84,85,60,60,97,120,131
Borrowings +,90,101,113,110,113,112,95,96,121,114,99,89,105
Other Liabilities +,56,95,98,110,114,148,163,181,173,211,192,193,198
Total Liabilities,422,515,530,541,513,501,361,381,373,403,407,420,452
Fixed Assets +,180,426,428,429,428,424,277,277,280,285,285,286,286
CWIP,3,1,5,2,2,1,8,11,10,13,22,36,44
Investments,190,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,49,89,97,109,83,76,76,93,83,106,100,98,123
Total Assets,422,515,530,541,513,501,361,381,373,403,407,420,452
