,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,25,25,25,25,25,25,28,28,28,28,28,28,28
Reserves,542,501,519,536,539,584,701,724,739,745,754,838,866
Borrowings +,692,916,879,734,686,549,479,366,232,161,70,63,73
Other Liabilities +,567,493,700,459,311,277,258,224,162,169,184,204,232
Total Liabilities,"1,826","1,935","2,123","1,755","1,562","1,435","1,467","1,342","1,161","1,103","1,036","1,133","1,198"
Fixed Assets +,777,841,847,495,456,415,417,363,321,304,279,265,303
CWIP,101,66,72,56,49,48,33,26,37,27,43,81,55
Investments,28,32,30,1,2,8,8,5,5,6,7,8,8
Other Assets +,921,996,"1,174","1,202","1,054",964,"1,008",947,797,766,707,779,832
Total Assets,"1,826","1,935","2,123","1,755","1,562","1,435","1,467","1,342","1,161","1,103","1,036","1,133","1,198"
