,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,53,59,67,68,70,85,86,87,88,89,125,139,139
Reserves,110,152,216,195,209,341,347,398,389,293,528,731,742
Borrowings +,134,217,308,292,349,324,420,464,658,"1,347",977,915,900
Other Liabilities +,64,77,117,133,148,294,372,491,515,518,401,433,491
Total Liabilities,361,505,708,688,776,"1,043","1,225","1,440","1,650","2,246","2,031","2,218","2,272"
Fixed Assets +,267,392,508,512,528,583,685,828,970,"1,646","1,382","1,547","1,503"
CWIP,0,0,0,11,42,121,148,174,153,46,30,22,64
Investments,1,0,61,2,0,64,11,53,49,34,26,9,9
Other Assets +,93,112,139,164,205,275,381,385,478,520,593,641,697
Total Assets,361,505,708,688,776,"1,043","1,225","1,440","1,650","2,246","2,031","2,218","2,272"
