,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,6,9,9,9,9,9,9,9,9,9,9,9
Reserves,41,54,59,66,76,93,113,132,169,193,220,251,256
Borrowings +,21,16,32,48,55,59,66,69,90,121,110,228,267
Other Liabilities +,15,19,24,19,20,25,25,35,32,65,73,74,93
Total Liabilities,82,95,124,142,160,186,213,244,299,387,411,562,624
Fixed Assets +,39,39,38,54,60,65,102,110,145,142,133,237,257
CWIP,0,6,29,21,33,36,21,32,7,74,109,82,110
Investments,0,0,0,0,0,0,0,0,0,0,0,21,23
Other Assets +,43,50,57,68,68,85,89,102,148,170,169,222,233
Total Assets,82,95,124,142,160,186,213,244,299,387,411,562,624
