,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,86,261,607,"2,019","2,553","2,872","2,131","3,227","4,738","3,839","4,423","4,727","4,623"
Expenses +,557,255,546,"1,864","2,272","2,600","1,944","2,944","4,320","3,346","3,873","4,077","4,053"
Operating Profit,-471,6,60,156,281,273,187,283,418,493,550,650,570
OPM %,-544%,2%,10%,8%,11%,10%,9%,9%,9%,13%,12%,14%,12%
Other Income +,539,34,97,385,110,-29,21,24,40,22,31,37,56
Interest,46,88,86,44,44,62,62,64,92,115,175,166,154
Depreciation,11,15,17,20,34,26,22,23,27,42,69,78,84
Profit before tax,12,-63,55,476,312,156,124,220,339,358,337,442,388
Tax %,0%,-0%,0%,1%,0%,0%,0%,22%,32%,34%,27%,26%,
Net Profit,10,-67,56,475,324,156,124,172,232,237,246,326,287
EPS in Rs,0.10,-0.54,0.45,3.83,2.61,1.26,0.99,1.35,1.73,1.77,1.86,2.27,2.00
