,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,8,8,8,8,8
Reserves,454,559,630,735,988,"1,159","1,185"
Borrowings +,159,67,669,741,431,313,321
Other Liabilities +,290,386,669,671,687,744,621
Total Liabilities,910,"1,019","1,975","2,154","2,113","2,223","2,135"
Fixed Assets +,508,492,"1,081","1,120","1,156","1,131","1,119"
CWIP,11,49,32,35,14,26,44
Investments,7,121,1,18,33,3,3
Other Assets +,383,357,861,982,911,"1,062",969
Total Assets,910,"1,019","1,975","2,154","2,113","2,223","2,135"
