,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0.76,0.76,0.85,10.24,7.67,7.67,7.67,7.67,7.67
Reserves,10.69,11.50,14.23,15.47,22.42,24.67,27.78,31.47,32.47
Borrowings +,8.92,5.28,5.02,0.82,0.18,0.30,0.99,1.24,3.29
Other Liabilities +,4.43,6.30,5.94,6.60,5.95,6.73,6.78,12.23,5.65
Total Liabilities,24.80,23.84,26.04,33.13,36.22,39.37,43.22,52.61,49.08
Fixed Assets +,0.93,0.92,1.11,1.08,1.00,1.13,1.41,1.72,1.71
CWIP,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
Investments,0.28,0.66,0.81,3.24,4.32,4.47,2.79,3.21,2.64
Other Assets +,23.59,22.26,24.12,28.81,30.90,33.77,39.02,47.68,44.73
Total Assets,24.80,23.84,26.04,33.13,36.22,39.37,43.22,52.61,49.08
