,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Jun 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,7,7,7,14,14,14,14,14,14,14,14
Reserves,123,143,169,213,243,225,104,155,-655,-893,"-1,493"
Borrowings +,0,41,16,155,276,443,601,850,"1,012",175,1
Other Liabilities +,159,231,383,422,641,773,703,576,704,"1,756","2,059"
Total Liabilities,288,422,575,804,"1,174","1,456","1,423","1,595","1,075","1,052",582
Fixed Assets +,34,40,72,142,141,356,346,373,363,357,352
CWIP,1,3,2,2,10,6,6,6,6,6,6
Investments,2,3,2,2,2,2,2,9,0,0,0
Other Assets +,251,375,500,659,"1,021","1,091","1,069","1,207",706,689,224
Total Assets,288,422,575,804,"1,174","1,456","1,423","1,595","1,075","1,052",582
