,Mar 2006,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,19,19,19,19,19,19,19
Reserves,30,183,222,253,257,302,312,315
Borrowings +,90,319,366,440,352,427,471,452
Other Liabilities +,52,160,128,155,161,174,201,224
Total Liabilities,181,680,734,867,789,922,"1,002","1,010"
Fixed Assets +,105,403,423,444,446,468,528,518
CWIP,7,11,13,19,34,71,38,15
Investments,0,0,0,4,8,10,12,12
Other Assets +,70,267,298,400,301,373,424,464
Total Assets,181,680,734,867,789,922,"1,002","1,010"
