,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Share Capital +,76,76,78,78,84,90,93,93,93,126,126,126
Reserves,"1,864","1,978","2,025","1,513","1,139",745,325,144,38,258,139,331
Borrowings +,"2,451","2,879","3,803","4,176","4,659","4,905","5,034","4,329","4,182","3,781","3,610",33
Other Liabilities +,433,406,392,484,470,545,376,396,421,396,313,169
Total Liabilities,"4,823","5,339","6,298","6,250","6,351","6,285","5,828","4,963","4,734","4,561","4,189",660
Fixed Assets +,"3,489","3,723","4,108","4,572","5,700","5,634","5,380","4,480","4,072","3,911",344,329
CWIP,935,"1,265","1,598","1,104",166,159,18,39,13,5,1,1
Investments,0,0,0,100,0,0,0,0,0,0,0,0
Other Assets +,400,351,592,474,484,492,430,443,649,645,"3,844",330
Total Assets,"4,823","5,339","6,298","6,250","6,351","6,285","5,828","4,963","4,734","4,561","4,189",660
