,Sep 2006,Dec 2007,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Sales +,4.30,0.02,0.00,0.00,0.00,0.00,0.00
Expenses +,5.06,19.18,1.10,0.21,0.16,0.12,0.24
Operating Profit,-0.76,-19.16,-1.10,-0.21,-0.16,-0.12,-0.24
OPM %,-17.67%,"-95,800.00%",,,,,
Other Income +,-15.03,27.01,1.64,0.27,0.37,1.20,3.41
Interest,0.35,1.30,0.01,0.02,0.00,0.02,0.04
Depreciation,0.59,0.55,0.02,0.00,0.00,0.00,0.00
Profit before tax,-16.73,6.00,0.51,0.04,0.21,1.06,3.13
Tax %,-1.55%,0.00%,9.80%,0.00%,0.00%,15.09%,0.64%
Net Profit,-16.99,6.00,0.46,0.04,0.21,0.90,3.12
EPS in Rs,-11.86,4.19,0.32,0.03,0.15,0.63,2.18
