,Mar 2010,Mar 2011,Sep 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,59,385,340,340,249,214,131,171,131,131,131,131,131
Reserves,-145,196,64,-77,20,-240,-285,-270,"-1,969","-2,443","-2,727","-3,113","-3,133"
Borrowings +,935,865,"1,384","1,750","1,988","2,073","2,162","2,604","2,692","2,673","2,669","2,669","2,669"
Other Liabilities +,"1,116","1,014","1,602","2,191","2,210","2,040","2,299","2,842","2,466","2,507","2,365","2,230","2,237"
Total Liabilities,"1,965","2,153","3,140","3,954","4,329","3,995","4,307","5,306","3,320","2,868","2,439","1,916","1,904"
Fixed Assets +,345,289,239,196,185,197,177,180,120,89,72,49,44
CWIP,12,14,2,5,2,9,7,3,1,0,0,0,0
Investments,30,152,252,284,284,284,278,319,60,37,41,45,47
Other Assets +,"1,577","1,698","2,647","3,469","3,858","3,505","3,845","4,804","3,139","2,742","2,325","1,822","1,813"
Total Assets,"1,965","2,153","3,140","3,954","4,329","3,995","4,307","5,306","3,320","2,868","2,439","1,916","1,904"
