,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,762","2,758","3,423","2,977","2,579","2,324","2,500","3,034","3,357","2,735","2,317","2,868","2,915"
Expenses +,"1,579","2,423","3,052","2,774","2,455","2,149","2,263","2,712","2,941","2,433","2,026","2,599","2,651"
Operating Profit,183,335,370,203,124,175,237,322,416,303,291,269,264
OPM %,10%,12%,11%,7%,5%,8%,9%,11%,12%,11%,13%,9%,9%
Other Income +,9,22,10,-174,-16,-47,7,23,17,24,15,260,30
Interest,119,151,150,150,163,139,127,125,143,97,83,70,82
Depreciation,76,85,90,91,89,69,72,73,76,78,80,80,83
Profit before tax,-4,120,140,-212,-144,-81,45,147,213,153,143,379,129
Tax %,-292%,44%,32%,24%,38%,30%,22%,34%,38%,25%,8%,10%,
Net Profit,-15,67,96,-161,-89,-57,35,97,133,115,132,340,142
EPS in Rs,,,30.85,-52.12,-28.63,-18.35,11.32,31.18,42.83,37.03,42.51,109.77,46.87
