,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,58,75,9,10,29,29,30,31,31
Reserves,-152,-153,-399,-331,131,246,"1,581","1,844","1,848"
Borrowings +,0,0,0,0,0,77,63,56,52
Other Liabilities +,245,334,611,864,661,771,837,"1,019","1,115"
Total Liabilities,102,191,221,543,821,"1,123","2,511","2,949","3,046"
Fixed Assets +,6,10,9,8,9,86,65,56,567
CWIP,0,0,0,0,0,0,0,0,0
Investments,60,125,136,311,607,901,"2,254","2,722","2,365"
Other Assets +,36,56,76,223,204,136,192,171,114
Total Assets,102,191,221,543,821,"1,123","2,511","2,949","3,046"
