,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"18,580","23,021","28,497","35,756","14,641","25,931","42,668"
Expenses +,"16,362","19,991","28,646","31,666","14,626","25,356","40,221"
Operating Profit,"2,219","3,030",-149,"4,090",14,575,"2,447"
OPM %,12%,13%,-1%,11%,0%,2%,6%
Other Income +,789,947,"1,325","1,531","1,037",726,890
Interest,406,413,563,"1,902","2,170","2,386","2,618"
Depreciation,457,437,760,"3,974","4,699","5,069","4,911"
Profit before tax,"2,144","3,127",-147,-256,"-5,818","-6,154","-4,191"
Tax %,23%,28%,207%,9%,0%,-0%,
Net Profit,"1,659","2,242",157,-234,"-5,806","-6,162","-4,200"
EPS in Rs,45.90,58.33,4.09,-6.07,-150.85,-159.94,-108.98
