,Jun 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,12,10,9,9,9,9,9,9,9,9,9
Reserves,86,88,87,88,94,98,104,105,91,20,-203,-210
Borrowings +,91,99,108,99,99,97,104,117,150,242,235,241
Other Liabilities +,68,92,100,116,152,180,178,164,139,98,131,138
Total Liabilities,252,286,304,312,354,384,394,395,389,369,172,178
Fixed Assets +,76,83,84,77,72,73,77,79,72,64,58,54
CWIP,0,0,0,0,4,5,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,176,203,220,235,279,306,317,315,317,305,114,123
Total Assets,252,286,304,312,354,384,394,395,389,369,172,178
