,Jun 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,282,207,264,331,362,395,446,413,265,96,67,46
Expenses +,249,187,239,300,327,359,404,376,250,112,208,178
Operating Profit,33,21,26,31,35,36,42,38,15,-17,-141,-132
OPM %,12%,10%,10%,9%,10%,9%,9%,9%,6%,-17%,-211%,-288%
Other Income +,0,0,0,1,1,1,1,1,2,-39,-34,-34
Interest,19,14,20,21,24,25,28,29,31,39,8,6
Depreciation,4,3,5,6,6,6,7,7,7,8,7,7
Profit before tax,10,4,2,4,5,5,8,3,-21,-102,-190,-179
Tax %,31%,31%,49%,30%,33%,33%,28%,29%,34%,29%,-17%,
Net Profit,7,3,1,3,4,4,6,2,-14,-72,-223,-218
EPS in Rs,8.48,3.10,0.71,3.20,3.95,4.18,6.97,2.37,-16.49,-83.66,-258.28,-252.21
