,Jun 2005,Jun 2006,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,18,18,18,18,18,18,18,18,18,18,18
Reserves,163,187,396,439,500,558,633,657,642,661,751,886,952
Borrowings +,50,36,120,92,97,140,280,282,296,262,267,257,299
Other Liabilities +,60,76,157,180,230,224,266,281,301,330,279,325,396
Total Liabilities,285,311,692,729,846,941,"1,197","1,238","1,258","1,272","1,315","1,486","1,665"
Fixed Assets +,83,139,322,325,340,374,440,489,468,590,570,555,654
CWIP,13,5,38,44,63,55,91,136,185,51,68,122,74
Investments,40,6,0,0,0,16,0,0,0,0,0,0,0
Other Assets +,149,161,332,360,443,496,666,613,605,631,677,809,937
Total Assets,285,311,692,729,846,941,"1,197","1,238","1,258","1,272","1,315","1,486","1,665"
