,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,037","1,409","1,134",965,660,653,716,765,757,780,891,"1,039","1,144"
Expenses +,867,"1,231","1,063",906,571,546,610,631,630,635,709,836,943
Operating Profit,170,178,72,59,89,107,106,134,126,144,183,203,201
OPM %,16%,13%,6%,6%,13%,16%,15%,18%,17%,19%,21%,20%,18%
Other Income +,16,33,4,-19,-31,1,15,16,120,33,23,36,45
Interest,56,85,140,117,117,106,88,28,92,107,100,96,95
Depreciation,41,40,54,66,84,85,88,87,104,90,87,131,136
Profit before tax,89,87,-119,-142,-143,-83,-55,36,50,-20,18,13,14
Tax %,-1%,-3%,1%,14%,17%,29%,29%,39%,42%,-7%,117%,117%,
Net Profit,89,89,-118,-122,-119,-59,-39,22,29,-21,-3,-2,-0
EPS in Rs,26.14,23.50,-30.02,-29.79,-29.14,-14.33,-8.75,4.85,6.09,-3.59,-0.53,-0.36,-0.04
