,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,2,5,5,5,18,24,24,24,24,24,24
Reserves,9,13,17,23,36,37,82,102,120,157,206,231
Borrowings +,0,0,1,0,0,4,0,0,33,39,28,42
Other Liabilities +,2,2,3,4,7,6,9,7,35,26,144,111
Total Liabilities,11,17,27,32,48,64,115,134,213,245,403,408
Fixed Assets +,2,2,7,6,5,5,4,10,101,82,226,224
CWIP,0,0,0,0,1,0,3,0,0,0,0,0
Investments,2,3,5,4,3,10,35,49,56,71,36,40
Other Assets +,7,12,15,21,39,49,73,75,56,92,142,144
Total Assets,11,17,27,32,48,64,115,134,213,245,403,408
