,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,29,29,29,45,45,45,45,56,63
Reserves,29,37,44,62,68,69,71,75,86
Borrowings +,27,49,65,35,37,30,17,120,118
Other Liabilities +,33,36,49,59,57,25,14,32,20
Total Liabilities,119,152,188,201,207,170,148,282,287
Fixed Assets +,44,71,69,31,29,27,4,20,3
CWIP,0,0,0,0,0,0,0,0,0
Investments,0,0,0,23,26,9,26,71,95
Other Assets +,75,80,118,148,151,134,118,190,189
Total Assets,119,152,188,201,207,170,148,282,287
