,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,368,631,986,"1,122","1,170","1,326","1,663","1,866",99,665,"1,571"
Expenses +,331,595,863,930,"1,020","1,108","1,350","1,266",49,447,"1,045"
Operating Profit,37,36,123,193,149,218,313,600,50,218,525
OPM %,10%,6%,12%,17%,13%,16%,19%,32%,50%,33%,33%
Other Income +,5,27,8,3,5,-5,5,14,38,20,26
Interest,16,24,39,24,25,29,24,221,251,258,262
Depreciation,23,37,76,83,84,87,95,264,283,294,300
Profit before tax,3,1,16,88,45,98,199,129,-446,-313,-10
Tax %,-4%,236%,-25%,8%,31%,-17%,33%,88%,24%,24%,
Net Profit,3,-2,20,81,31,115,133,15,-338,-239,-13
EPS in Rs,0.81,0.68,2.08,8.40,3.17,11.88,12.98,1.46,-29.97,-19.57,-1.04
