,Mar 2007,Mar 2008,Mar 2009,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,13,13,13,21,21,21,21,21,21,20,20
Reserves,25,70,88,278,388,444,527,641,711,800,850,929
Borrowings +,14,15,14,322,206,237,114,305,191,100,54,278
Other Liabilities +,39,64,87,308,321,277,338,388,372,505,473,586
Total Liabilities,87,162,201,920,936,978,"1,000","1,356","1,294","1,426","1,396","1,812"
Fixed Assets +,8,20,25,210,198,185,232,240,239,239,253,252
CWIP,5,0,1,38,51,58,17,19,39,59,91,126
Investments,-0,18,17,3,3,11,17,12,12,14,16,18
Other Assets +,74,124,159,670,684,725,735,"1,084","1,004","1,115","1,037","1,417"
Total Assets,87,162,201,920,936,978,"1,000","1,356","1,294","1,426","1,396","1,812"
