,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,25,25,25,25,25,25,25,25,25,25,25,25,25
Reserves,"1,026","1,229","1,529","1,934","2,183","2,234","2,430","2,663","3,097","3,590","4,676","5,467","5,753"
Borrowings +,530,601,617,603,935,867,716,628,465,501,265,807,734
Other Liabilities +,330,472,526,648,669,765,788,799,961,"1,142","1,099","1,338","1,386"
Total Liabilities,"1,912","2,327","2,697","3,211","3,812","3,892","3,960","4,116","4,549","5,258","6,066","7,637","7,898"
Fixed Assets +,699,944,"1,104","1,354","1,800","2,014","1,983","1,953","1,940","2,059","2,072","2,418","2,555"
CWIP,95,95,129,165,267,129,95,73,66,133,235,306,246
Investments,41,34,9,9,16,26,136,87,120,310,505,989,370
Other Assets +,"1,077","1,255","1,455","1,683","1,729","1,723","1,746","2,003","2,422","2,756","3,254","3,924","4,727"
Total Assets,"1,912","2,327","2,697","3,211","3,812","3,892","3,960","4,116","4,549","5,258","6,066","7,637","7,898"
