,Sep 2011,Sep 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,713","3,048","2,933","1,679","3,952","4,507","3,916","3,790","5,050","5,882","5,426","5,499","5,751"
Expenses +,"2,532","2,840","2,748","1,595","3,679","4,157","3,510","3,481","4,761","5,537","4,956","5,165","5,375"
Operating Profit,181,207,186,84,273,349,407,309,289,345,469,335,376
OPM %,7%,7%,6%,5%,7%,8%,10%,8%,6%,6%,9%,6%,7%
Other Income +,32,34,42,30,47,76,93,56,65,31,52,13,14
Interest,36,44,41,23,51,66,58,34,45,61,64,88,81
Depreciation,49,55,64,34,83,76,75,81,82,101,101,101,104
Profit before tax,127,141,123,58,188,284,367,251,227,214,356,158,205
Tax %,31%,32%,38%,33%,34%,33%,32%,33%,37%,30%,29%,27%,
Net Profit,88,95,76,39,123,190,248,168,144,149,253,115,138
EPS in Rs,11.99,12.72,11.10,5.74,16.03,25.13,32.94,21.40,19.42,19.65,33.71,14.80,17.96
