,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,774,782,790,795,802,805,"1,215","1,220","1,226","1,229","1,231","1,232","1,240"
Reserves,"15,716","18,677","22,368","26,442","30,934","41,875","45,198","51,290","57,915","64,044","59,116","61,223","64,384"
Borrowings +,125,118,102,242,269,84,46,36,13,277,271,249,253
Other Liabilities +,"9,777","10,509","12,069","13,369","13,948","8,888","9,440","11,695","12,585","11,760","13,143","14,491","16,281"
Total Liabilities,"26,391","30,085","35,329","40,848","45,952","51,651","55,898","64,241","71,739","77,311","73,761","77,196","82,157"
Fixed Assets +,"9,172","10,007","12,140","12,921","15,303","15,107","15,893","16,524","19,374","21,713","23,298","24,232","25,046"
CWIP,"1,368","2,396","2,062","3,117","2,700","2,560","3,730","5,508","4,136","3,256","4,011","3,226","3,319"
Investments,"4,868","5,207","5,981","7,284","6,943","11,748","17,581","22,053","25,043","28,663","24,871","24,841","24,834"
Other Assets +,"10,984","12,475","15,146","17,526","21,006","22,237","18,694","20,156","23,185","23,678","21,580","24,898","28,958"
Total Assets,"26,391","30,085","35,329","40,848","45,952","51,651","55,898","64,241","71,739","77,311","73,761","77,196","82,157"
