,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,388,416,429,459,492,459,349,346,354,347,177,289,364
Expenses +,416,415,450,471,478,441,340,372,335,329,224,291,337
Operating Profit,-28,1,-20,-12,14,18,9,-27,19,18,-47,-1,27
OPM %,-7%,0%,-5%,-3%,3%,4%,3%,-8%,5%,5%,-26%,-1%,7%
Other Income +,23,28,33,30,34,19,16,58,44,25,19,19,22
Interest,0,1,0,0,0,1,1,1,1,1,1,1,1
Depreciation,6,6,6,7,11,9,7,7,7,8,7,7,7
Profit before tax,-11,22,6,11,36,27,17,23,55,35,-36,10,41
Tax %,22%,63%,50%,25%,12%,36%,49%,38%,32%,47%,-2%,34%,
Net Profit,-9,8,3,8,32,18,9,14,38,19,-37,6,28
EPS in Rs,-1.04,0.98,0.36,0.95,3.71,2.08,0.87,1.35,4.58,2.37,-4.06,0.79,3.25
