,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,406","1,658","1,593","1,524","1,652","2,892","2,938","2,061","3,170","2,861","2,728","3,809","4,304"
Expenses +,"1,266","1,491","1,402","1,362","1,561","2,700","2,726","1,796","2,843","2,523","2,515","3,516","3,991"
Operating Profit,140,167,191,162,91,192,212,264,327,338,213,293,314
OPM %,10%,10%,12%,11%,6%,7%,7%,13%,10%,12%,8%,8%,7%
Other Income +,15,10,10,34,114,-102,23,7,14,-10,45,45,64
Interest,92,106,119,128,136,138,89,88,124,130,138,142,144
Depreciation,42,42,51,44,43,37,46,58,82,137,100,103,105
Profit before tax,21,28,31,24,27,-85,99,126,134,60,20,94,129
Tax %,55%,20%,29%,61%,28%,30%,48%,42%,38%,27%,20%,26%,
Net Profit,9,23,22,9,19,-59,51,73,83,44,16,69,87
EPS in Rs,0.81,1.96,1.91,0.81,1.25,-3.82,3.28,4.69,4.77,2.51,0.92,4.01,4.99
