,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,63,63,63,62,63,65,65,62,59,56,56,53,53
Reserves,639,689,869,899,"1,071","1,555","2,090","1,977","1,816","1,862","1,940","2,085","2,073"
Borrowings +,192,668,484,490,648,591,308,148,406,281,318,352,364
Other Liabilities +,352,436,381,471,469,453,748,785,814,738,648,653,763
Total Liabilities,"1,247","1,856","1,801","1,925","2,253","2,664","3,212","2,972","3,096","2,938","2,961","3,142","3,252"
Fixed Assets +,472,865,778,791,773,"1,422","1,492","1,476","1,493","1,455","1,346","1,269","1,235"
CWIP,52,66,131,114,72,145,76,12,3,2,2,2,1
Investments,200,252,222,332,357,362,535,523,506,526,839,"1,029","1,089"
Other Assets +,522,672,669,688,"1,051",734,"1,109",961,"1,093",955,774,842,927
Total Assets,"1,247","1,856","1,801","1,925","2,253","2,664","3,212","2,972","3,096","2,938","2,961","3,142","3,252"
