,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Sales +,139.71,322.74,409.23,437.55,564.60,340.20,323.15,288.27,120.10,61.06
Expenses +,120.35,282.34,332.68,358.67,460.36,330.87,283.48,277.24,132.04,55.00
Operating Profit,19.36,40.40,76.55,78.88,104.24,9.33,39.67,11.03,-11.94,6.06
OPM %,13.86%,12.52%,18.71%,18.03%,18.46%,2.74%,12.28%,3.83%,-9.94%,9.92%
Other Income +,1.53,4.11,5.23,6.68,8.62,6.01,5.80,6.36,0.49,3.11
Interest,8.62,20.71,38.07,40.78,59.24,71.53,59.83,35.66,6.84,4.63
Depreciation,2.18,3.63,4.91,6.03,8.66,16.37,14.98,16.99,13.81,12.24
Profit before tax,10.09,20.17,38.80,38.75,44.96,-72.56,-29.34,-35.26,-32.10,-7.70
Tax %,36.97%,47.79%,36.44%,33.96%,37.66%,9.05%,17.86%,26.38%,-0.03%,0.00%
Net Profit,6.36,10.53,24.66,25.59,28.03,-65.99,-24.10,-25.96,-32.12,-7.70
EPS in Rs,8.86,14.81,33.98,35.41,29.22,-66.40,-23.00,-26.32,-32.57,-7.55
