,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,43,43,43,41,40,40,40,40,40,40,40,40,40
Reserves,92,113,132,140,157,202,293,384,470,477,540,645,680
Borrowings +,138,183,166,125,64,16,73,63,4,152,125,191,133
Other Liabilities +,253,297,264,234,234,226,155,303,554,121,292,317,386
Total Liabilities,522,632,601,539,495,484,561,789,"1,067",790,998,"1,193","1,239"
Fixed Assets +,174,185,265,259,242,211,281,301,373,369,351,436,422
CWIP,30,89,17,2,8,65,20,31,40,132,134,53,69
Investments,5,5,5,0,0,0,0,0,0,0,0,0,0
Other Assets +,313,353,314,277,245,207,259,457,655,289,512,703,747
Total Assets,522,632,601,539,495,484,561,789,"1,067",790,998,"1,193","1,239"
