,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10,12,12,12,12,12,12
Reserves,49,57,60,66,74,94,98,114,144,175,177
Borrowings +,37,21,39,44,52,64,74,84,72,82,82
Other Liabilities +,32,32,47,40,54,61,85,75,88,100,116
Total Liabilities,128,120,156,160,190,231,269,285,316,369,387
Fixed Assets +,57,57,69,66,86,88,90,101,98,112,113
CWIP,1,1,0,0,1,1,12,6,12,1,2
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,70,62,87,93,103,141,166,177,207,257,272
Total Assets,128,120,156,160,190,231,269,285,316,369,387
