,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,82,113,119,120,158,175,248,278,299,368,380
Expenses +,71,95,99,100,137,166,225,240,248,321,327
Operating Profit,11,18,20,20,21,9,23,38,52,47,54
OPM %,13%,16%,17%,16%,13%,5%,9%,14%,17%,13%,14%
Other Income +,1,1,1,2,3,5,7,8,3,6,8
Interest,5,5,6,5,6,7,8,10,10,9,9
Depreciation,4,3,4,4,4,6,7,8,9,10,10
Profit before tax,3,10,11,12,15,1,14,28,36,35,42
Tax %,50%,22%,31%,39%,32%,72%,44%,28%,16%,7%,
Net Profit,1,8,8,7,10,0,8,20,31,32,39
EPS in Rs,1.56,8.07,7.96,7.60,10.54,0.29,6.51,16.98,25.71,26.95,32.35
