,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,237,251,360,497,599,639,639
Reserves,356,488,868,"1,308","1,523","1,576","1,482"
Borrowings +,"1,131","1,244","1,716","2,422","3,679","4,055","4,114"
Other Liabilities +,240,825,664,701,779,958,863
Total Liabilities,"1,965","2,807","3,608","4,929","6,580","7,228","7,098"
Fixed Assets +,"1,130","1,098","1,166","1,268","1,481","1,410","2,207"
CWIP,39,199,635,"1,062","2,058","3,163","2,852"
Investments,0,0,0,1,1,1,1
Other Assets +,796,"1,510","1,808","2,597","3,040","2,654","2,038"
Total Assets,"1,965","2,807","3,608","4,929","6,580","7,228","7,098"
