,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011
Share Capital +,13.25,13.25,13.25,1.33,1.33,1.33
Reserves,-281.96,-327.50,-318.91,-35.92,-36.91,-41.07
Borrowings +,344.39,367.97,335.74,58.75,48.78,52.69
Other Liabilities +,18.09,19.78,22.95,22.89,24.87,16.24
Total Liabilities,93.77,73.50,53.03,47.05,38.07,29.19
Fixed Assets +,67.79,52.16,31.36,27.36,23.34,19.58
CWIP,0.00,0.00,0.00,0.00,0.00,0.00
Investments,3.52,2.82,2.48,2.45,2.45,4.96
Other Assets +,22.46,18.52,19.19,17.24,12.28,4.65
Total Assets,93.77,73.50,53.03,47.05,38.07,29.19
