,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,58,58,58,77,77,59,63,68,73,10
Reserves,224,242,238,220,125,-86,22,5,19,14,15,"1,814","1,887"
Borrowings +,0,"1,967","3,402","4,315","5,348","5,796",0,0,0,0,0,0,65
Other Liabilities +,74,"1,011",960,"1,553","1,731","2,012",86,86,72,74,80,83,20
Total Liabilities,308,"3,231","4,610","6,098","7,214","7,732",118,101,102,99,105,"1,908","1,983"
Fixed Assets +,27,138,141,"3,728","6,729","6,785",5,5,4,4,4,4,4
CWIP,1,"2,432","3,995","1,902",19,18,0,0,0,0,0,0,0
Investments,159,277,194,201,58,92,55,39,40,37,42,"1,846","1,921"
Other Assets +,122,385,279,268,409,836,58,58,57,58,59,58,58
Total Assets,308,"3,231","4,610","6,098","7,214","7,732",118,101,102,99,105,"1,908","1,983"
