,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,855","2,364","2,232","5,143","7,557","7,225","7,005","6,448","3,623","3,546","4,082","5,878","6,087"
Expenses +,"1,903","2,018","2,088","4,720","6,896","6,244","6,316","5,821","3,172","2,874","2,975","4,443","4,905"
Operating Profit,952,346,144,422,662,980,689,627,451,671,"1,108","1,435","1,182"
OPM %,33%,15%,6%,8%,9%,14%,10%,10%,12%,19%,27%,24%,19%
Other Income +,28,-54,-0,-1,-113,7,91,47,-538,73,139,386,587
Interest,25,29,40,126,91,106,111,121,50,99,61,32,57
Depreciation,88,88,89,188,229,245,285,255,104,118,145,153,164
Profit before tax,867,174,15,107,228,636,385,298,-241,527,"1,040","1,636","1,547"
Tax %,31%,23%,59%,38%,20%,28%,30%,49%,-70%,7%,24%,27%,
Net Profit,595,135,6,67,182,456,269,152,-409,489,791,"1,196","1,511"
EPS in Rs,129.33,31.39,1.42,18.60,41.01,80.45,42.79,19.45,-93.30,111.56,180.57,273.11,344.90
