,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,818","6,745","6,924","7,583","7,315","6,898","7,689","8,272","10,368","8,723","9,102","11,983","13,787"
Expenses +,"5,493","6,416","6,306","6,712","6,384","5,782","6,557","7,535","9,256","7,737","7,796","10,910","12,704"
Operating Profit,325,329,618,871,931,"1,117","1,132",737,"1,112",986,"1,306","1,073","1,084"
OPM %,6%,5%,9%,11%,13%,16%,15%,9%,11%,11%,14%,9%,8%
Other Income +,13,-43,12,-41,-30,11,135,135,-5,-76,81,40,-15
Interest,117,188,233,276,257,252,440,466,521,549,466,419,413
Depreciation,109,121,133,179,158,216,291,299,316,378,387,385,392
Profit before tax,112,-23,264,374,486,660,535,107,270,-17,534,309,263
Tax %,44%,-66%,26%,32%,33%,31%,29%,41%,35%,989%,38%,35%,
Net Profit,66,-32,203,263,330,467,381,63,171,141,331,201,177
EPS in Rs,3.21,-1.56,9.90,12.81,14.53,20.60,16.55,2.91,7.16,6.12,12.97,8.53,7.53
