,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,425,425,444,444,486,486,486,486,486,486,489,491,491
Reserves,"10,354","11,053","12,109","9,826","14,469","12,030","3,192","4,167",582,"1,671","1,052",-406,"-1,116"
Borrowings +,"44,264","53,174","63,111","72,599","75,274","66,246","38,953","28,859","28,678","19,692","19,146","19,097","19,154"
Other Liabilities +,"11,940","14,624","18,884","19,807","19,272","21,424","18,722","16,113","26,844","14,440","15,676","18,209","19,719"
Total Liabilities,"66,983","79,276","94,548","102,676","109,501","100,187","61,354","49,626","56,590","36,289","36,362","37,391","38,248"
Fixed Assets +,"16,442","26,701","42,557","45,434","53,775","42,785","18,589","19,714","19,845","9,589","8,988","8,618","8,363"
CWIP,"22,935","26,599","22,302","27,124","19,420","11,321","2,866","1,465",673,679,714,247,194
Investments,"3,111","3,301","3,462","3,042","3,026","2,713","2,127","1,318","1,210","1,671","1,462","1,462","1,554"
Other Assets +,"24,494","22,676","26,227","27,076","33,280","43,369","37,772","27,129","34,860","24,351","25,198","27,064","28,137"
Total Assets,"66,983","79,276","94,548","102,676","109,501","100,187","61,354","49,626","56,590","36,289","36,362","37,391","38,248"
