,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,"1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389"
Reserves,"4,664","4,958","4,554","3,777","1,644",-573,"-2,824","-4,787","-7,200","-8,406"
Borrowings +,"8,674","9,102","9,564","8,866","9,015","9,031","9,047","9,049","9,051","9,049"
Other Liabilities +,"5,908","4,473","3,204","4,595","7,014","15,003","16,312","18,508","20,972","22,411"
Total Liabilities,"20,636","19,921","18,711","18,627","19,062","24,849","23,925","24,160","24,212","24,444"
Fixed Assets +,"9,654","9,663","10,260","10,184","10,816","10,808","10,863","10,781","10,669","10,667"
CWIP,"1,035","1,197",673,740,57,-0,-0,-0,1,2
Investments,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Other Assets +,"9,947","9,061","7,778","7,703","8,189","14,040","13,062","13,378","13,541","13,775"
Total Assets,"20,636","19,921","18,711","18,627","19,062","24,849","23,925","24,160","24,212","24,444"
