,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,534,"1,018","1,004",922,850,601,504,452,555,540,615,"1,159","1,408"
Expenses +,489,"1,001",974,918,872,568,466,422,519,491,564,"1,059","1,323"
Operating Profit,46,17,29,3,-23,33,37,30,36,49,51,99,86
OPM %,9%,2%,3%,0%,-3%,5%,7%,7%,6%,9%,8%,9%,6%
Other Income +,2,-1,2,87,-20,-73,3,1,1,1,3,1,2
Interest,1,37,35,37,45,43,31,27,25,22,17,15,16
Depreciation,6,29,31,32,31,18,9,9,9,11,13,13,14
Profit before tax,40,-50,-35,21,-118,-101,-0,-5,2,17,25,72,58
Tax %,29%,-12%,-0%,-19%,0%,91%,"-2,138%",-3%,246%,1%,137%,26%,
Net Profit,29,-57,-35,25,-118,-9,-2,-5,-3,17,-9,54,40
EPS in Rs,,-47.85,-29.56,21.02,-99.40,-7.96,-1.49,-3.97,-2.20,11.42,-6.19,35.65,26.63
