,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,345","5,285","6,051","7,058","7,152","7,142","7,446","8,709","10,840","12,676","12,949","14,777","15,499"
Expenses +,"3,850","4,754","5,546","6,434","6,412","6,305","6,525","7,609","9,426","11,133","11,376","13,482","14,217"
Operating Profit,495,531,505,623,740,838,921,"1,100","1,414","1,543","1,574","1,295","1,282"
OPM %,11%,10%,8%,9%,10%,12%,12%,13%,13%,12%,12%,9%,8%
Other Income +,31,33,35,23,25,-18,24,25,44,48,277,274,268
Interest,147,188,224,282,373,462,469,473,486,603,532,522,416
Depreciation,88,99,122,149,168,186,181,192,211,340,373,351,358
Profit before tax,291,277,194,215,224,171,295,461,761,648,945,696,776
Tax %,27%,26%,31%,42%,48%,56%,47%,40%,36%,40%,30%,23%,
Net Profit,211,204,134,124,115,76,157,278,487,390,662,535,560
EPS in Rs,12.96,12.29,8.44,7.96,7.84,7.17,12.15,18.29,30.41,25.18,45.06,36.28,36.54
