,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86
Reserves,35.70,32.77,20.37,1.86,-9.67,-10.56,-9.65,-9.47
Borrowings +,90.95,67.02,58.93,51.71,15.32,14.51,14.42,14.42
Other Liabilities +,33.40,9.62,11.14,21.48,8.79,7.81,6.02,6.20
Total Liabilities,163.91,113.27,94.30,78.91,18.30,15.62,14.65,15.01
Fixed Assets +,92.97,74.10,52.90,26.41,11.55,11.26,10.96,10.82
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,1.41,1.96,1.73,1.27,1.30,1.34,1.98,2.01
Other Assets +,69.53,37.21,39.67,51.23,5.45,3.02,1.71,2.18
Total Assets,163.91,113.27,94.30,78.91,18.30,15.62,14.65,15.01
