,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,144.78,78.03,54.38,69.55,26.57,2.54,3.19,1.73
Expenses +,135.53,84.46,58.95,76.84,35.84,3.01,3.46,2.02
Operating Profit,9.25,-6.43,-4.57,-7.29,-9.27,-0.47,-0.27,-0.29
OPM %,6.39%,-8.24%,-8.40%,-10.48%,-34.89%,-18.50%,-8.46%,-16.76%
Other Income +,0.27,16.08,-0.06,-1.44,6.33,1.57,3.22,2.40
Interest,13.27,13.10,8.53,6.53,5.29,1.70,1.60,1.44
Depreciation,7.59,7.12,3.71,3.21,2.11,0.29,0.29,0.28
Profit before tax,-11.34,-10.57,-16.87,-18.47,-10.34,-0.89,1.06,0.39
Tax %,0.00%,0.00%,31.77%,0.00%,-19.15%,0.00%,14.15%,
Net Profit,-11.10,-10.56,-11.51,-18.47,-12.33,-0.89,0.91,0.38
EPS in Rs,-28.84,-27.43,-29.90,-47.98,-32.03,-2.31,2.36,0.99
