,Mar 2008,Mar 2009,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,368","1,369","2,801","3,120","3,505","3,767","4,053","4,658","5,424","5,280","5,074","6,369","7,329"
Expenses +,"1,196","1,219","2,463","2,753","3,054","3,182","3,315","3,864","4,672","4,476","4,211","5,720","6,579"
Operating Profit,172,150,338,367,451,585,737,794,753,804,863,649,750
OPM %,13%,11%,12%,12%,13%,16%,18%,17%,14%,15%,17%,10%,10%
Other Income +,40,33,132,10,22,563,98,71,61,26,38,25,18
Interest,2,2,1,2,1,-0,-0,1,10,21,24,29,30
Depreciation,42,38,47,66,68,68,70,77,106,142,165,170,174
Profit before tax,168,143,422,310,404,"1,079",765,787,697,667,712,476,564
Tax %,30%,29%,30%,33%,32%,16%,33%,35%,36%,23%,26%,28%,
Net Profit,118,102,294,209,275,902,510,514,448,516,526,343,408
EPS in Rs,2.22,1.91,5.44,3.86,5.09,16.72,9.44,9.55,8.40,9.67,9.83,6.66,7.85
