,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,308.70,454.28,239.27,170.37,51.51,40.52,25.41,14.69,5.59,4.55,4.14,5.61,7.72
Expenses +,262.24,383.77,255.89,177.38,38.79,35.11,24.39,27.03,6.61,5.08,5.85,6.72,6.65
Operating Profit,46.46,70.51,-16.62,-7.01,12.72,5.41,1.02,-12.34,-1.02,-0.53,-1.71,-1.11,1.07
OPM %,15.05%,15.52%,-6.95%,-4.11%,24.69%,13.35%,4.01%,-84.00%,-18.25%,-11.65%,-41.30%,-19.79%,13.86%
Other Income +,24.32,17.77,16.95,11.33,-2.40,3.92,5.55,1.39,-2.62,0.79,1.04,1.31,0.00
Interest,12.52,14.78,23.60,24.48,27.23,24.91,19.68,19.50,13.03,13.48,13.49,13.59,6.71
Depreciation,7.17,9.19,12.15,14.89,19.74,19.55,18.32,16.50,3.94,3.12,2.71,2.08,2.07
Profit before tax,51.09,64.31,-35.42,-35.05,-36.65,-35.13,-31.43,-46.95,-20.61,-16.34,-16.87,-15.47,-7.71
Tax %,23.92%,24.68%,-21.74%,-7.67%,-3.19%,-0.37%,-0.29%,36.68%,103.74%,-8.14%,2.55%,-16.94%,
Net Profit,38.87,48.44,-43.11,-37.74,-37.81,-35.26,-31.52,-29.73,0.77,-17.67,-16.43,-18.09,-9.97
EPS in Rs,27.19,23.89,-20.82,-18.75,-18.79,-17.52,-15.66,-14.77,0.38,-8.78,-8.16,-8.99,-4.95
