,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,13,13,13,13,13,13,13,13
Reserves,222,238,216,197,145,69,41,-15,-47
Borrowings +,0,0,30,25,35,167,160,204,206
Other Liabilities +,151,155,187,136,176,160,153,159,206
Total Liabilities,373,407,445,372,368,409,368,361,378
Fixed Assets +,112,149,193,201,206,303,279,240,249
CWIP,3,2,2,1,1,1,1,2,0
Investments,152,88,72,20,14,19,11,26,15
Other Assets +,105,167,179,149,147,86,77,93,114
Total Assets,373,407,445,372,368,409,368,361,378
