,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,33,33,28,21,13,13,13,13,13,13,13,13,13
Reserves,417,469,476,484,519,602,663,723,798,825,983,"1,164","1,183"
Borrowings +,378,353,327,467,451,479,516,556,596,549,468,437,525
Other Liabilities +,250,340,445,388,414,501,454,515,551,586,645,768,726
Total Liabilities,"1,058","1,175","1,261","1,353","1,397","1,595","1,646","1,807","1,957","1,973","2,109","2,382","2,446"
Fixed Assets +,466,591,568,570,644,973,871,908,"1,186","1,180","1,096","1,058","1,030"
CWIP,112,25,103,175,121,0,109,256,42,15,23,8,7
Investments,0,5,5,5,5,5,14,15,15,15,11,11,11
Other Assets +,480,555,585,603,627,617,651,629,714,763,979,"1,304","1,399"
Total Assets,"1,058","1,175","1,261","1,353","1,397","1,595","1,646","1,807","1,957","1,973","2,109","2,382","2,446"
