,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,659,"1,016","1,136","1,061","1,188","1,296","1,231","1,476","1,661","1,424","1,693","2,108","2,157"
Expenses +,522,824,"1,025",933,"1,020","1,033","1,010","1,219","1,429","1,232","1,328","1,733","1,923"
Operating Profit,137,192,111,127,168,263,220,256,232,192,364,375,235
OPM %,21%,19%,10%,12%,14%,20%,18%,17%,14%,13%,22%,18%,11%
Other Income +,16,44,76,21,13,4,9,2,8,4,27,39,26
Interest,16,42,40,46,51,52,51,45,41,60,47,35,35
Depreciation,22,41,44,47,48,48,63,71,76,96,92,87,88
Profit before tax,115,154,103,54,81,167,116,143,124,39,252,292,138
Tax %,16%,17%,17%,8%,16%,30%,17%,22%,12%,-47%,25%,18%,
Net Profit,96,128,85,50,67,117,98,113,110,58,185,240,131
EPS in Rs,6.11,8.23,5.06,2.68,3.91,7.24,5.94,6.94,6.38,2.10,12.64,14.59,6.32
