,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,51,51,51,51,51,51,51,51,51,51,51,51,51
Reserves,895,"1,056","1,096","1,140","1,278","1,239","1,535","1,946","2,384","2,746","3,308","3,569","3,602"
Borrowings +,"1,420","1,239","1,669","2,130","2,214","3,221","2,106","1,766","1,839","2,519","2,066","3,065","3,969"
Other Liabilities +,"2,459","3,204","3,418","4,069","4,183","4,362","5,023","6,749","7,389","7,538","8,566","9,611","10,099"
Total Liabilities,"4,825","5,551","6,235","7,390","7,727","8,874","8,715","10,512","11,663","12,855","13,992","16,295","17,722"
Fixed Assets +,"1,083","1,131","1,321","1,352","1,259","1,198","1,149","1,112","1,182","1,352","1,398","1,538","1,569"
CWIP,28,112,30,18,16,8,5,78,7,84,18,2,10
Investments,-0,-0,-0,-0,0,25,130,39,13,22,1,13,-0
Other Assets +,"3,714","4,308","4,884","6,020","6,452","7,643","7,431","9,283","10,460","11,396","12,575","14,742","16,143"
Total Assets,"4,825","5,551","6,235","7,390","7,727","8,874","8,715","10,512","11,663","12,855","13,992","16,295","17,722"
