,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,58,51,51,51,69,64,66,66,66,66,66,66,66
Reserves,166,183,134,72,-222,-256,5,-81,-158,-114,-33,10,26
Borrowings +,262,279,293,333,267,324,296,309,266,188,179,142,132
Other Liabilities +,412,420,434,488,334,318,366,320,303,347,415,397,377
Total Liabilities,891,933,912,942,432,441,733,614,478,487,628,616,601
Fixed Assets +,333,327,314,337,98,92,416,405,327,322,481,442,440
CWIP,2,6,4,2,2,0,0,0,0,0,0,1,1
Investments,2,2,2,2,1,1,1,1,1,1,2,2,2
Other Assets +,554,597,592,601,331,348,316,207,149,164,145,171,159
Total Assets,891,933,912,942,432,441,733,614,478,487,628,616,601
