,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,2.11,2.89,2.89,3.29,10.19,10.19,10.19
Reserves,0.63,4.71,5.24,8.28,-2.24,-6.36,-5.65
Borrowings +,0.01,0.01,0.00,0.00,0.00,0.00,0.00
Other Liabilities +,0.67,0.84,1.16,1.40,1.28,2.12,2.26
Total Liabilities,3.42,8.45,9.29,12.97,9.23,5.95,6.80
Fixed Assets +,0.34,1.08,1.24,1.18,0.87,0.83,0.97
CWIP,0.00,0.19,0.22,0.23,0.24,0.24,0.27
Investments,0.00,0.00,0.00,0.60,0.60,0.00,0.00
Other Assets +,3.08,7.18,7.83,10.96,7.52,4.88,5.56
Total Assets,3.42,8.45,9.29,12.97,9.23,5.95,6.80
